2	爱爱<p>嗯嗯，咱俩都是最可爱的人！<\p>
5	厌恶厌恶<p>你不爽就来说谁配不上谁，还让大家都迁就你？<\p>
2	中性爱<p>我不看耽美，接触她的第一本就是旧时，好好看，好久没看的那么过瘾！<\p>
5	厌恶厌恶<p>有枇杷满枝，吾妹未出阁楼时亲手所刻，今已糟蹋完矣<\p>
6	悲伤厌恶厌恶<p>还不睡，你手机的电量真是感人<\p>
2	悲伤爱<p>下午看了少年派奇幻漂流，李安的片子，不错，值得一看的<\p>
6	爱中性爱<p>止不住的买买买浪潮<\p>
2	中性中性<p>生命长河中有些回忆举足轻重，有些能记住一辈子。其实，都不重要。只要能感受到快乐就行。谢谢，圣诞快乐<\p>
6	爱快乐中性<p>gf2,去澳门玩的时候买的<\p>
6	快乐厌恶爱中性<p>我也才收到录取通知啊<\p>
2	悲伤中性<p>呃~虽然我中意坐巴士多过坐地铁~哈哈~不过地铁快喔~<\p>
1	悲伤悲伤<p>要好好普及一下，很显然他玩，否则不会知道有其他支付方式，哈哈<\p>
5	厌恶厌恶<p>原来他叫王昊啊…怪不得都叫他屁股王<\p>
5	中性厌恶<p>难道你来这里展现你的无知愚昧？<\p>
1	中性快乐<p>哈哈哈。好吧。怪我怪我<\p>
3	中性快乐<p>抽不到口红我可能会哭<\p>
6	中性悲伤快乐<p>我目的地不是武汉啊<\p>
1	害怕爱<p>哈哈哈通知里面看到的<\p>
1	爱快乐<p>噗好哒那我要多出一点摄影作品了！<\p>
1	悲伤爱厌恶<p>哈哈，好谦虚哦，我其实才是最谦虚的<\p>
2	爱爱<p>嗯呢男生手好看很心动哦<\p>
1	中性中性<p>哈哈可以看看原着就都懂了<\p>
2	中性爱<p>可以呀！厉害了<\p>
2	爱悲伤<p>嗯嗯我相信我很快就会好起来的<\p>
6	悲伤害怕悲伤悲伤<p>简单快乐还要剪辑师吗我自荐一下<\p>
5	厌恶厌恶<p>扯淡。你这太不客观。好多满脑袋头发的还杀人呢。<\p>
5	快乐厌恶快乐<p>搞得我跟坏人一样<\p>
6	中性快乐<p>嘘，那是本玄幻剧情文！<\p>
1	中性快乐<p>哪来这么多情敌啦，亲亲哈<\p>
2	爱爱<p>你青春无敌~！<\p>
2	中性中性中性<p>必须的，捏脚这个行业，你不掌握点专业技能，养生知识？怎么和客人交流，你说对吧！<\p>
1	快乐悲伤中性<p>哈哈··听姐的··保准不错··哈哈哈··<\p>
6	爱中性<p>知道abc不代表英语好。<\p>
6	厌恶厌恶<p>你哪个服？我理解服<\p>
5	厌恶厌恶爱<p>对的而且永远复制粘贴<\p>
6	中性爱<p>3ce！我脸起皮冬天不敢用粉状的，夏天用可能会油。<\p>
1	中性快乐中性快乐<p>要问她，我一无所知哈哈<\p>
2	中性厌恶<p>那这个老师看上去非常和蔼了<\p>
6	中性中性<p>然后我朋友就说这就是你没对象的原因，见过的太多了<\p>
6	害怕中性<p>别，有人知道你是新手该欺负你了，什么也别弄最好。<\p>
5	中性厌恶<p>世界没有葱并不会有何不同哦我总是看见端来的葱才想起忘跟店家说别！放！葱！<\p>
1	快乐中性<p>嗯哪嗯哪，我们都好好努力<\p>
4	中性害怕<p>你总共等了多久呀?我七月中回来才递的，现在刚一个月，所以比较担心<\p>
2	爱爱<p>是蛮难找的，我当初看的也是删节版，字幕也乱七八糟，但阿佳妮的美貌5555惊天地泣鬼神啊<\p>
2	爱爱<p>哈哈你好厉害我下载了好多app不过貌似没有木工的<\p>
6	爱爱<p>买小杯！我觉得刚好够喝！<\p>
6	中性中性中性<p>的确是啊，全球变暖了嘛，昼夜温度比较大<\p>
6	爱悲伤<p>当然，喜欢的不一样吧<\p>
2	中性中性中性中性<p>嗯，你也早点好！<\p>
6	中性厌恶<p>加我微信，我推名片给你<\p>
5	厌恶厌恶<p>死脑残，我手里的一加坏了而已，何必紧张？又不是没用过魅族，傻子清醒下吧。<\p>
6	爱中性中性<p>我们就是要醒之前撅屁股，然后就坐起来了<\p>
2	爱中性<p>好像是谈论过假如爱有天意，我喜欢里面的那种意境纯美的爱情片，孙艺珍我是看了夏日香气<\p>
6	中性中性<p>我之前买的伊利舒化奶，觉得口感没蒙牛的好喝，我喝了没胀气<\p>
6	中性中性<p>我也不知道啥时候有组织活动，网上差不到呢。<\p>
6	中性中性<p>原图拿的，表情包我做的，用美图<\p>
1	爱中性中性<p>嗯嗯  哈哈  和你的震哥哥一起共进晚餐吧<\p>
4	爱害怕<p>嗯！以后再也不大意了<\p>
2	快乐中性快乐<p>哈哈，不错不错，还是要尝试新东西啊<\p>
2	厌恶厌恶<p>只不过还是挺喜欢的推荐看2d<\p>
4	中性中性<p>只要不停就代表问题不大，但是有隐患<\p>
6	厌恶爱<p>我会继续锻炼你的<\p>
5	厌恶厌恶<p>别人也包括你，那你混得一定是风生水起，我似乎该说一句羡慕?<\p>
6	害怕快乐<p>准备充分点就不会焦虑了<\p>
1	快乐快乐<p>不过每次会输就是哈哈<\p>
2	爱爱<p>我才是想你啦我这个寒假要学车车还不知道能不能来找你玩你过年啥时候回来呀<\p>
5	中性悲伤<p>我这不是去看他了吗！？还想让我怎样<\p>
2	中性爱快乐<p>不！我比他好多了！！我好多东西没跟你秀呢<\p>
6	中性中性中性中性<p>骑马的地方可能北京比上海的多一点吧！骑马不一定到上海了吧？<\p>
1	爱爱快乐<p>哈哈好~get！<\p>
5	厌恶厌恶<p>输了关你毛事哦？你气啥？<\p>
1	悲伤快乐<p>我是需要有人买我的煤炭啦，哈哈我公司进口煤炭的<\p>
2	中性中性<p>嗯嗯，还可以，不过玩我最爱的还是家里的白粽<\p>
